ano,mes,data,regiao,uf,cidade,pm25,pm10,no2,co,o3,temperatura_media,umidade,indice_qualidade_ar,nivel_qualidade
2015,1,2015-01-01,Norte,AM,Manaus,40.49,59.71,36.34,1.65,41.76,27.5,40.7,77.83,Moderada
2015,1,2015-01-01,Norte,PA,Belém,42.4,56.33,11.07,0.76,57.16,25.3,76.2,66.82,Moderada
2015,1,2015-01-01,Norte,PA,Santarém,33.09,67.08,14.03,1.03,34.61,27.4,91.8,61.79,Moderada
2015,1,2015-01-01,Norte,RO,Porto Velho,28.57,92.4,19.51,1.38,22.36,19.6,57.7,66.96,Moderada
2015,1,2015-01-01,Norte,TO,Palmas,22.18,92.5,28.23,1.63,27.42,23.4,47.3,65.93,Moderada
2015,1,2015-01-01,Nordeste,BA,Salvador,32.24,59.6,24.12,0.92,28.36,17.0,84.2,60.12,Moderada
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,38.32,61.54,17.01,1.32,31.61,28.4,70.7,67.84,Moderada
2015,1,2015-01-01,Nordeste,PE,Recife,39.47,86.18,17.29,1.67,42.71,27.4,75.2,79.0,Moderada
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,26.67,62.07,31.24,0.77,34.0,27.4,88.3,56.87,Moderada
2015,1,2015-01-01,Nordeste,CE,Fortaleza,43.22,58.22,32.65,0.68,39.97,17.5,87.6,71.1,Moderada
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,32.34,82.76,26.48,0.72,39.24,27.8,67.5,66.07,Moderada
2015,1,2015-01-01,Nordeste,MA,São Luís,24.25,59.34,31.31,1.79,28.78,26.4,58.1,61.67,Moderada
2015,1,2015-01-01,Nordeste,PB,João Pessoa,41.13,49.34,6.41,0.31,55.44,26.6,77.3,58.98,Moderada
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,35.67,45.73,34.18,0.34,44.68,19.8,85.9,59.26,Moderada
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,30.47,59.33,31.16,1.16,29.52,27.0,78.4,62.29,Moderada
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,40.29,63.56,30.2,0.44,54.85,24.5,73.8,68.71,Moderada
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,22.02,79.92,22.57,1.56,44.79,25.0,64.5,62.44,Moderada
